iter	Passed	Remaining
321	1398	2945
322	1401	2937
323	1404	2930
324	1408	2926
325	1412	2919
326	1414	2912
327	1417	2904
328	1421	2898
329	1424	2891
330	1427	2884
331	1429	2877
332	1432	2869
333	1436	2864
334	1439	2857
335	1442	2849
336	1445	2842
337	1447	2835
338	1451	2830
339	1454	2823
340	1457	2816
341	1460	2809
342	1463	2803
343	1467	2798
344	1470	2791
345	1473	2784
346	1476	2778
347	1480	2774
348	1483	2767
349	1486	2761
350	1489	2754
351	1492	2747
352	1496	2742
353	1499	2736
354	1502	2729
355	1505	2722
356	1507	2715
357	1511	2710
358	1514	2703
359	1517	2697
360	1520	2690
361	1522	2683
362	1526	2678
363	1529	2672
364	1532	2666
365	1535	2659
366	1537	2652
367	1541	2647
368	1544	2641
369	1547	2634
370	1550	2628
371	1552	2621
372	1556	2617
373	1560	2611
374	1562	2604
375	1565	2598
376	1569	2593
377	1572	2587
378	1575	2581
379	1578	2575
380	1581	2568
381	1584	2563
382	1587	2557
383	1590	2551
384	1593	2545
385	1595	2538
386	1599	2533
387	1602	2527
388	1605	2522
389	1608	2516
390	1611	2510
391	1615	2506
392	1619	2500
393	1622	2495
394	1625	2489
395	1629	2485
396	1632	2479
397	1635	2474
398	1639	2468
399	1642	2463
400	1646	2459
401	1649	2454
402	1653	2448
403	1656	2443
404	1660	2439
405	1663	2433
406	1666	2428
407	1669	2422
408	1673	2417
409	1676	2412
410	1679	2407
411	1682	2401
412	1685	2395
413	1689	2391
414	1692	2385
415	1695	2379
416	1697	2373
417	1700	2367
418	1704	2362
419	1706	2357
420	1709	2351
421	1712	2345
422	1716	2341
423	1719	2336
424	1722	2330
425	1725	2324
426	1728	2319
427	1731	2314
428	1734	2308
429	1737	2303
430	1740	2297
431	1742	2291
432	1746	2286
433	1749	2281
434	1752	2275
435	1755	2270
436	1757	2264
437	1761	2260
438	1765	2255
439	1767	2250
440	1770	2244
441	1772	2238
442	1776	2234
443	1779	2228
444	1782	2222
445	1784	2216
446	1787	2210
447	1790	2206
448	1793	2200
449	1796	2195
450	1798	2189
451	1801	2183
452	1803	2177
453	1807	2173
454	1809	2167
455	1812	2161
456	1814	2156
457	1817	2150
458	1820	2146
459	1823	2140
460	1826	2135
461	1828	2129
462	1831	2124
463	1834	2119
464	1837	2114
465	1840	2108
466	1842	2103
467	1845	2097
468	1848	2092
469	1851	2087
470	1854	2082
471	1856	2077
472	1859	2071
473	1861	2065
474	1864	2061
475	1867	2056
476	1870	2050
477	1873	2045
478	1875	2040
479	1878	2035
480	1881	2030
481	1884	2025
482	1887	2020
483	1890	2015
484	1893	2010
485	1896	2005
486	1899	2000
487	1902	1996
488	1905	1991
489	1908	1986
490	1911	1981
491	1914	1976
492	1916	1971
493	1919	1966
494	1922	1961
495	1925	1956
496	1928	1951
497	1930	1946
498	1933	1941
499	1936	1936
500	1939	1932
501	1942	1927
502	1945	1921
503	1947	1916
504	1951	1912
505	1954	1907
506	1957	1903
507	1959	1897
508	1962	1892
509	1965	1888
510	1968	1883
511	1971	1878
512	1974	1873
513	1976	1868
514	1979	1864
515	1982	1859
516	1985	1855
517	1988	1850
518	1991	1845
519	1994	1841
520	1998	1837
521	2001	1832
522	2004	1827
523	2006	1822
524	2010	1819
525	2014	1815
526	2017	1810
527	2019	1805
528	2022	1800
529	2025	1796
530	2028	1791
531	2031	1787
532	2034	1782
533	2036	1777
534	2040	1773
535	2043	1768
536	2046	1764
537	2048	1759
538	2051	1754
539	2054	1750
540	2057	1745
541	2060	1741
542	2063	1736
543	2065	1731
544	2069	1727
545	2072	1723
546	2075	1718
547	2077	1713
548	2080	1708
549	2083	1704
550	2086	1700
551	2089	1695
552	2091	1690
553	2094	1686
554	2097	1682
555	2101	1677
556	2104	1673
557	2107	1669
558	2109	1664
559	2113	1660
560	2116	1656
561	2119	1651
562	2122	1647
563	2125	1643
564	2128	1639
565	2131	1634
566	2134	1630
567	2137	1625
568	2140	1621
569	2143	1616
570	2146	1612
571	2149	1608
572	2152	1603
573	2154	1599
574	2157	1594
575	2160	1590
576	2163	1586
577	2168	1582
578	2176	1582
579	2180	1578
580	2183	1574
581	2186	1570
582	2191	1567
583	2194	1563
584	2198	1559
585	2201	1555
586	2204	1550
587	2207	1546
588	2209	1541
589	2212	1537
590	2217	1534
591	2220	1530
592	2223	1526
593	2225	1521
594	2229	1517
595	2232	1513
596	2234	1508
597	2237	1504
598	2239	1499
599	2242	1495
600	2245	1490
601	2248	1486
602	2251	1482
603	2253	1477
604	2256	1473
605	2260	1469
606	2262	1464
607	2265	1460
608	2267	1456
609	2270	1451
610	2274	1447
611	2276	1443
612	2279	1439
613	2282	1434
614	2284	1430
615	2287	1426
616	2290	1422
617	2293	1417
618	2296	1413
619	2298	1408
620	2301	1404
621	2304	1400
622	2307	1396
623	2309	1391
624	2312	1387
625	2315	1383
626	2318	1379
627	2321	1374
628	2323	1370
629	2326	1366
630	2328	1361
631	2333	1358
632	2336	1354
633	2338	1350
634	2341	1346
635	2344	1341
636	2347	1337
637	2350	1333
638	2353	1329
639	2355	1325
640	2358	1320
641	2361	1316
642	2364	1312
643	2367	1308
644	2370	1304
645	2372	1300
646	2375	1296
647	2378	1292
648	2381	1287
649	2384	1283
650	2386	1279
651	2388	1275
652	2392	1271
653	2395	1267
654	2398	1263
655	2400	1259
656	2403	1254
657	2407	1251
658	2410	1247
659	2412	1242
660	2415	1238
661	2417	1234
662	2421	1230
663	2424	1226
664	2427	1222
665	2429	1218
666	2432	1214
667	2435	1210
668	2438	1206
669	2440	1202
670	2443	1198
671	2445	1193
672	2448	1189
673	2452	1186
674	2454	1181
675	2457	1177
676	2460	1173
677	2462	1169
678	2467	1166
679	2470	1162
680	2473	1158
681	2475	1154
682	2478	1150
683	2482	1146
684	2484	1142
685	2487	1138
686	2490	1134
687	2492	1130
688	2496	1126
689	2498	1122
690	2501	1118
691	2503	1114
692	2506	1110
693	2509	1106
694	2512	1102
695	2515	1098
696	2517	1094
697	2519	1090
698	2522	1086
699	2525	1082
700	2528	1078
701	2531	1074
702	2533	1070
703	2536	1066
704	2540	1062
705	2543	1059
706	2545	1054
707	2548	1050
708	2550	1046
709	2553	1042
710	2556	1039
711	2559	1035
712	2561	1031
713	2564	1027
714	2566	1023
715	2570	1019
716	2573	1015
717	2576	1011
718	2578	1007
719	2581	1003
720	2584	1000
721	2587	996
722	2590	992
723	2592	988
724	2594	984
725	2597	980
726	2600	976
727	2603	972
728	2606	968
729	2608	964
730	2611	960
731	2615	957
732	2617	953
733	2620	949
734	2623	945
735	2626	942
736	2629	938
737	2632	934
738	2635	930
739	2638	926
740	2640	922
741	2643	919
742	2646	915
743	2649	911
744	2651	907
745	2654	903
746	2657	900
747	2660	896
748	2663	892
749	2665	888
750	2668	884
751	2670	880
752	2673	877
753	2677	873
754	2679	869
755	2682	865
756	2684	861
757	2687	857
758	2690	854
759	2693	850
760	2696	846
761	2699	843
762	2701	839
763	2705	835
764	2707	831
765	2710	828
766	2712	824
767	2715	820
768	2719	816
769	2722	813
770	2724	809
771	2727	805
772	2729	801
773	2732	797
774	2735	794
775	2738	790
776	2740	786
777	2743	782
778	2745	778
779	2749	775
780	2752	771
781	2754	767
782	2757	764
783	2759	760
784	2762	756
785	2765	752
786	2768	749
787	2770	745
788	2773	741
789	2775	737
790	2779	734
791	2781	730
792	2783	726
793	2786	722
794	2788	719
795	2791	715
796	2795	711
797	2797	708
798	2800	704
799	2802	700
800	2805	696
801	2808	693
802	2810	689
803	2813	685
804	2815	682
805	2818	678
806	2820	674
807	2823	670
808	2825	667
809	2828	663
810	2830	659
811	2832	655
812	2834	652
813	2838	648
814	2840	644
815	2842	640
816	2845	637
817	2848	633
818	2850	629
819	2853	626
820	2855	622
821	2857	618
822	2860	615
823	2862	611
824	2864	607
825	2867	604
826	2869	600
827	2872	596
828	2874	592
829	2876	589
830	2879	585
831	2881	581
832	2884	578
833	2886	574
834	2889	570
835	2891	567
836	2893	563
837	2897	560
838	2900	556
839	2902	552
840	2904	549
841	2907	545
842	2909	541
843	2913	538
844	2916	534
845	2919	531
846	2922	527
847	2925	524
848	2928	520
849	2931	517
850	2933	513
851	2936	510
852	2939	506
853	2942	503
854	2945	499
855	2947	495
856	2950	492
857	2952	488
858	2956	485
859	2959	481
860	2961	478
861	2964	474
862	2967	471
863	2971	467
864	2973	464
865	2976	460
866	2978	456
867	2981	453
868	2983	449
869	2986	446
870	2989	442
871	2991	439
872	2994	435
873	2997	432
874	3000	428
875	3002	425
876	3005	421
877	3007	417
878	3010	414
879	3012	410
880	3015	407
881	3018	403
882	3020	400
883	3023	396
884	3025	393
885	3027	389
886	3032	386
887	3035	382
888	3037	379
889	3040	375
890	3042	372
891	3046	368
892	3048	365
893	3051	361
894	3053	358
895	3056	354
896	3058	351
897	3061	347
898	3064	344
899	3066	340
900	3068	337
901	3070	333
902	3073	330
903	3076	326
904	3078	323
905	3081	319
906	3083	316
907	3085	312
908	3088	309
909	3091	305
910	3093	302
911	3096	298
912	3098	295
913	3100	291
914	3103	288
915	3106	284
916	3108	281
917	3111	277
918	3113	274
919	3115	270
920	3118	267
921	3121	264
922	3123	260
923	3126	257
924	3128	253
925	3130	250
926	3133	246
927	3136	243
928	3139	239
929	3141	236
930	3144	233
931	3146	229
932	3150	226
933	3152	222
934	3155	219
935	3157	215
936	3159	212
937	3162	209
938	3166	205
939	3168	202
940	3171	198
941	3174	195
942	3177	192
943	3180	188
944	3183	185
945	3185	181
946	3188	178
947	3191	175
948	3194	171
949	3197	168
950	3200	164
951	3203	161
952	3205	158
953	3210	154
954	3213	151
955	3215	148
956	3218	144
957	3221	141
958	3224	137
959	3227	134
960	3229	131
961	3232	127
962	3235	124
963	3238	120
964	3241	117
965	3244	114
966	3247	110
967	3250	107
968	3253	104
969	3256	100
970	3259	97
971	3261	93
972	3264	90
973	3267	87
974	3270	83
975	3273	80
976	3276	77
977	3278	73
978	3281	70
979	3285	67
980	3288	63
981	3290	60
982	3293	56
983	3295	53
984	3299	50
985	3301	46
986	3304	43
987	3307	40
988	3309	36
989	3313	33
990	3315	30
991	3317	26
992	3320	23
993	3322	20
994	3324	16
995	3327	13
996	3330	10
997	3333	6
998	3335	3
999	3337	0
