iter	RMSE
864	45.91653364
865	45.91410692
866	45.90410948
867	45.88220175
868	45.88035021
869	45.87795937
870	45.87563277
871	45.87333113
872	45.86909345
873	45.85702043
874	45.83618469
875	45.83444036
876	45.8322365
877	45.82827292
878	45.82607326
879	45.82395684
880	45.8037935
881	45.80162735
882	45.79954635
883	45.79594134
884	45.79389014
885	45.79189126
886	45.77862656
887	45.77663763
888	45.76578838
889	45.75313262
890	45.75164343
891	45.74831884
892	45.7449546
893	45.74190389
894	45.72966399
895	45.72299295
896	45.70816858
897	45.68976261
898	45.68832414
899	45.68655294
900	45.68468931
901	45.68289976
902	45.67139786
903	45.65373704
904	45.65188583
905	45.65051489
906	45.64459595
907	45.6378581
908	45.63061386
909	45.61973558
910	45.61809187
911	45.61247859
912	45.605543
913	45.58916067
914	45.58637105
915	45.58479389
916	45.56900947
917	45.5666718
918	45.56027972
919	45.5587585
920	45.55267364
921	45.53763198
922	45.53608676
923	45.53036235
924	45.52889492
925	45.52634816
926	45.51625479
927	45.51487061
928	45.51354722
929	45.50024291
930	45.49489756
931	45.4806334
932	45.47558963
933	45.47076498
934	45.45721839
935	45.45265396
936	45.44828211
937	45.43865143
938	45.43103446
939	45.42681225
940	45.41760084
941	45.40436765
942	45.40034386
943	45.39648452
944	45.38388087
945	45.38021007
946	45.37668531
947	45.36466615
948	45.36130568
949	45.35807546
950	45.3514247
951	45.340153
952	45.33705536
953	45.3346071
954	45.3316381
955	45.32541613
956	45.32254851
957	45.31195108
958	45.30920677
959	45.30656424
960	45.29814687
961	45.29280084
962	45.28467468
963	45.27902938
964	45.27651292
965	45.27146246
966	45.26910086
967	45.26130597
968	45.25900504
969	45.25422453
970	45.24669449
971	45.24454833
972	45.24232637
973	45.24033837
974	45.23820649
975	45.23091926
976	45.22892837
977	45.226872
978	45.21982409
979	45.21466842
980	45.2087196
981	45.2067066
982	45.20004829
983	45.19828711
984	45.19634134
985	45.18990339
986	45.18521469
987	45.17902277
988	45.17741287
989	45.17498536
990	45.1689865
991	45.16665094
992	45.15141922
993	45.1491945
994	45.14343754
995	45.14173279
996	45.12713158
997	45.12294744
998	45.11744024
999	45.1134041
